YEAR	C0032172	C0037019	
1979	1.000000	0.000000	
1980	0.863248	0.136752	
1981	0.925490	0.074510	
1982	0.938838	0.061162	
1983	0.952137	0.047863	
1984	0.972396	0.027604	
1985	0.966829	0.033171	
1986	0.976252	0.023748	
1987	0.978402	0.021598	
1988	0.993157	0.006843	
1989	0.989247	0.010753	
1990	0.991461	0.008539	
1991	0.995859	0.004141	
1992	0.992114	0.007886	
1993	0.985958	0.014042	
1994	0.987684	0.012316	
1995	0.987386	0.012614	
1996	0.987591	0.012409	
1997	0.993461	0.006539	
1998	0.988316	0.011684	
1999	0.993481	0.006519	
2000	0.991935	0.008065	
2001	0.995889	0.004111	
2002	0.987158	0.012842	
2003	0.994731	0.005269	
2004	0.991432	0.008568	
2005	0.991984	0.008016	
2006	0.984911	0.015089	
2007	1.000000	0.000000	
2008	0.997555	0.002445	
2009	0.990909	0.009091	
2010	0.993197	0.006803	
2011	0.998104	0.001896	
2012	0.999065	0.000935	
2013	0.995961	0.004039	
2014	1.000000	0.000000	
2015	1.000000	0.000000	
2016	1.000000	0.000000	
2017	1.000000	0.000000	
2018	1.000000	0.000000	
