YEAR	C0013058	C0031336	
1945	0.000000	1.000000	
1946	0.000000	1.000000	
1947	0.000000	1.000000	
1948	0.000000	1.000000	
1949	0.000000	1.000000	
1950	0.000000	1.000000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.000000	1.000000	
1955	0.000000	1.000000	
1956	0.000000	1.000000	
1957	0.000000	1.000000	
1958	0.000000	1.000000	
1959	0.000000	1.000000	
1960	0.000000	1.000000	
1961	0.000000	1.000000	
1962	0.000000	1.000000	
1963	0.005780	0.994220	
1964	0.031390	0.968610	
1965	0.104167	0.895833	
1966	0.279070	0.720930	
1967	0.350000	0.650000	
1968	0.439024	0.560976	
1969	0.500000	0.500000	
1970	0.551020	0.448980	
1971	0.506849	0.493151	
1972	0.402985	0.597015	
1973	0.437500	0.562500	
1974	0.545455	0.454545	
1975	0.138298	0.861702	
1976	0.201613	0.798387	
1977	0.271429	0.728571	
1978	0.349206	0.650794	
1979	0.333333	0.666667	
1980	0.400000	0.600000	
1981	0.212121	0.787879	
1982	0.302326	0.697674	
1983	0.447368	0.552632	
1984	0.448276	0.551724	
1985	0.371795	0.628205	
1986	0.202247	0.797753	
1987	0.272727	0.727273	
1988	0.263636	0.736364	
1989	0.233333	0.766667	
1990	0.304348	0.695652	
1991	0.524390	0.475610	
1992	0.464789	0.535211	
1993	0.563380	0.436620	
1994	0.590476	0.409524	
1995	0.221053	0.778947	
1996	0.393617	0.606383	
1997	0.398058	0.601942	
1998	0.556701	0.443299	
1999	0.495146	0.504854	
2000	0.459854	0.540146	
2001	0.692308	0.307692	
2002	0.705882	0.294118	
2003	0.555556	0.444444	
2004	0.316176	0.683824	
2005	0.868132	0.131868	
2006	0.600000	0.400000	
2007	0.510511	0.489489	
2008	0.536458	0.463542	
2009	0.545788	0.454212	
2010	0.643006	0.356994	
2011	0.580175	0.419825	
2012	0.494600	0.505400	
2013	0.441810	0.558190	
2014	0.676399	0.323601	
2015	0.592138	0.407862	
2016	0.580431	0.419569	
2017	0.345541	0.654459	
2018	0.283058	0.716942	
