YEAR	C0035203	C0282636	
1945	0.592593	0.407407	
1946	0.663551	0.336449	
1947	0.629870	0.370130	
1948	0.622340	0.377660	
1949	0.573333	0.426667	
1950	0.627660	0.372340	
1951	0.607973	0.392027	
1952	0.643713	0.356287	
1953	0.614754	0.385246	
1954	0.669048	0.330952	
1955	0.674473	0.325527	
1956	0.643182	0.356818	
1957	0.670732	0.329268	
1958	0.666667	0.333333	
1959	0.671287	0.328713	
1960	0.696296	0.303704	
1961	0.676056	0.323944	
1962	0.680529	0.319471	
1963	0.681128	0.318872	
1964	0.734884	0.265116	
1965	0.809028	0.190972	
1966	1.000000	0.000000	
1967	0.996656	0.003344	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	0.990385	0.009615	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	0.996960	0.003040	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	0.998660	0.001340	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	0.991389	0.008611	
1996	0.970211	0.029789	
1997	0.965779	0.034221	
1998	0.931439	0.068561	
1999	0.935415	0.064585	
2000	0.881748	0.118252	
2001	0.869651	0.130349	
2002	0.830608	0.169392	
2003	0.795173	0.204827	
2004	0.811957	0.188043	
2005	0.817927	0.182073	
2006	0.750124	0.249876	
2007	0.841715	0.158285	
2008	0.721732	0.278268	
2009	0.745709	0.254291	
2010	0.634048	0.365952	
2011	0.662839	0.337161	
2012	0.644963	0.355037	
2013	0.678337	0.321663	
2014	0.702159	0.297841	
2015	0.707632	0.292368	
2016	0.756263	0.243737	
2017	0.772007	0.227993	
2018	0.828213	0.171787	
