YEAR	C0164209	C0597731	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	0.722846	0.277154	
1999	0.489982	0.510018	
2000	0.330998	0.669002	
2001	0.268868	0.731132	
2002	0.279161	0.720839	
2003	0.297486	0.702514	
2004	0.139610	0.860390	
2005	0.162257	0.837743	
2006	0.095785	0.904215	
2007	0.195747	0.804253	
2008	0.086764	0.913236	
2009	0.091991	0.908009	
2010	0.048237	0.951763	
2011	0.043171	0.956829	
2012	0.109496	0.890504	
2013	0.032690	0.967310	
2014	0.042887	0.957113	
2015	0.040461	0.959539	
2016	0.032631	0.967369	
2017	0.041814	0.958186	
2018	0.055841	0.944159	
