YEAR	C0036319	C0036330	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	0.990521	0.009479	
1978	0.991379	0.008621	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	0.781095	0.218905	
1986	0.531876	0.468124	
1987	0.524871	0.475129	
1988	0.512249	0.487751	
1989	0.513274	0.486726	
1990	0.472284	0.527716	
1991	0.530201	0.469799	
1992	0.523466	0.476534	
1993	0.524664	0.475336	
1994	0.519630	0.480370	
1995	0.549774	0.450226	
1996	0.500000	0.500000	
1997	0.509165	0.490835	
1998	0.455969	0.544031	
1999	0.529661	0.470339	
2000	0.507973	0.492027	
2001	0.542670	0.457330	
2002	0.564777	0.435223	
2003	0.549199	0.450801	
2004	0.547094	0.452906	
2005	0.553699	0.446301	
2006	0.594059	0.405941	
2007	0.597849	0.402151	
2008	0.548708	0.451292	
2009	0.589286	0.410714	
2010	0.557432	0.442568	
2011	0.630769	0.369231	
2012	0.600677	0.399323	
2013	0.595718	0.404282	
2014	0.540366	0.459634	
2015	0.564706	0.435294	
2016	0.551414	0.448586	
2017	0.537713	0.462287	
2018	0.532258	0.467742	
