YEAR	C0039371	C0144576	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	0.854545	0.145455	
1984	1.000000	0.000000	
1985	0.864865	0.135135	
1986	1.000000	0.000000	
1987	0.968085	0.031915	
1988	1.000000	0.000000	
1989	0.979592	0.020408	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	0.432143	0.567857	
1994	0.165944	0.834056	
1995	0.162129	0.837871	
1996	0.050952	0.949048	
1997	0.045203	0.954797	
1998	0.047492	0.952508	
1999	0.027998	0.972002	
2000	0.045077	0.954923	
2001	0.031063	0.968937	
2002	0.051020	0.948980	
2003	0.063795	0.936205	
2004	0.048369	0.951631	
2005	0.051063	0.948937	
2006	0.063362	0.936638	
2007	0.064584	0.935416	
2008	0.075510	0.924490	
2009	0.086157	0.913843	
2010	0.136991	0.863009	
2011	0.170530	0.829470	
2012	0.140082	0.859918	
2013	0.141655	0.858345	
2014	0.137402	0.862598	
2015	0.145978	0.854022	
2016	0.208819	0.791181	
2017	0.213397	0.786603	
2018	0.202085	0.797915	
