YEAR	C0056208	C1321571	
1975	0.000000	1.000000	
1976	0.000000	1.000000	
1977	0.000000	1.000000	
1978	0.000000	1.000000	
1979	0.000000	1.000000	
1980	0.000000	1.000000	
1981	0.000000	1.000000	
1982	0.285714	0.714286	
1983	0.000000	1.000000	
1984	0.076923	0.923077	
1985	0.470588	0.529412	
1986	0.571429	0.428571	
1987	0.323529	0.676471	
1988	0.347826	0.652174	
1989	0.250000	0.750000	
1990	0.243590	0.756410	
1991	0.193548	0.806452	
1992	0.323529	0.676471	
1993	0.540230	0.459770	
1994	0.481481	0.518519	
1995	0.680000	0.320000	
1996	0.622047	0.377953	
1997	0.585938	0.414062	
1998	0.409449	0.590551	
1999	0.515464	0.484536	
2000	0.224490	0.775510	
2001	0.673333	0.326667	
2002	0.785000	0.215000	
2003	0.520408	0.479592	
2004	0.564815	0.435185	
2005	0.686667	0.313333	
2006	0.554140	0.445860	
2007	0.713415	0.286585	
2008	0.723618	0.276382	
2009	0.450382	0.549618	
2010	0.586207	0.413793	
2011	0.265734	0.734266	
2012	0.484848	0.515152	
2013	0.239362	0.760638	
2014	0.179245	0.820755	
2015	0.517588	0.482412	
2016	0.235294	0.764706	
2017	0.514286	0.485714	
2018	0.187500	0.812500	
