YEAR	C0018064	C1623258	
1945	0.066667	0.933333	
1946	0.125000	0.875000	
1947	0.017857	0.982143	
1948	0.014706	0.985294	
1949	0.000000	1.000000	
1950	0.005181	0.994819	
1951	0.004219	0.995781	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.004219	0.995781	
1955	0.000000	1.000000	
1956	0.005000	0.995000	
1957	0.015000	0.985000	
1958	0.000000	1.000000	
1959	0.000000	1.000000	
1960	0.005000	0.995000	
1961	0.000000	1.000000	
1962	0.000000	1.000000	
1963	0.000000	1.000000	
1964	0.000000	1.000000	
1965	0.000000	1.000000	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.002833	0.997167	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.006667	0.993333	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.000000	1.000000	
1975	0.000000	1.000000	
1976	0.000000	1.000000	
1977	0.000000	1.000000	
1978	0.000000	1.000000	
1979	0.000000	1.000000	
1980	0.016667	0.983333	
1981	0.000814	0.999186	
1982	0.000000	1.000000	
1983	0.005058	0.994942	
1984	0.013241	0.986759	
1985	0.004664	0.995336	
1986	0.002519	0.997481	
1987	0.004014	0.995986	
1988	0.000000	1.000000	
1989	0.000000	1.000000	
1990	0.009547	0.990453	
1991	0.015664	0.984336	
1992	0.016340	0.983660	
1993	0.024441	0.975559	
1994	0.005936	0.994064	
1995	0.016072	0.983928	
1996	0.007685	0.992315	
1997	0.012993	0.987007	
1998	0.025929	0.974071	
1999	0.008293	0.991707	
2000	0.026152	0.973848	
2001	0.026238	0.973762	
2002	0.005386	0.994614	
2003	0.013271	0.986729	
2004	0.024959	0.975041	
2005	0.009689	0.990311	
2006	0.007256	0.992744	
2007	0.011650	0.988350	
2008	0.005671	0.994329	
2009	0.008912	0.991088	
2010	0.011876	0.988124	
2011	0.007327	0.992673	
2012	0.012144	0.987856	
2013	0.022009	0.977991	
2014	0.005538	0.994462	
2015	0.001895	0.998105	
2016	0.010982	0.989018	
2017	0.002724	0.997276	
2018	0.013094	0.986906	
