YEAR	C0022171	C0812425	
1975	0.563380	0.436620	
1976	0.487395	0.512605	
1977	0.492537	0.507463	
1978	0.649007	0.350993	
1979	0.570552	0.429448	
1980	0.743961	0.256039	
1981	0.738589	0.261411	
1982	0.770677	0.229323	
1983	0.725552	0.274448	
1984	0.735602	0.264398	
1985	0.760218	0.239782	
1986	0.745803	0.254197	
1987	0.752778	0.247222	
1988	0.767442	0.232558	
1989	0.800578	0.199422	
1990	0.740933	0.259067	
1991	0.643357	0.356643	
1992	0.651416	0.348584	
1993	0.580574	0.419426	
1994	0.498759	0.501241	
1995	0.615385	0.384615	
1996	0.623529	0.376471	
1997	0.611621	0.388379	
1998	0.445104	0.554896	
1999	0.464832	0.535168	
2000	0.464539	0.535461	
2001	0.458621	0.541379	
2002	0.480159	0.519841	
2003	0.607547	0.392453	
2004	0.684848	0.315152	
2005	0.708738	0.291262	
2006	0.577689	0.422311	
2007	0.800000	0.200000	
2008	0.709030	0.290970	
2009	0.618421	0.381579	
2010	0.668464	0.331536	
2011	0.762032	0.237968	
2012	0.602174	0.397826	
2013	0.469008	0.530992	
2014	0.442623	0.557377	
2015	0.600316	0.399684	
2016	0.485240	0.514760	
2017	0.532495	0.467505	
2018	0.376238	0.623762	
